Expression	Value	Location	Type	
AD_Value	<array>	0x20000018	double[100]	
ch1	<array>	0x20000344	uint16_t[120]	
[0]	50747	0x20000344	uint16_t	
[1]	6149	0x20000346	uint16_t	
[2]	7479	0x20000348	uint16_t	
[3]	2219	0x2000034A	uint16_t	
[4]	1115	0x2000034C	uint16_t	
[5]	2217	0x2000034E	uint16_t	
[6]	1111	0x20000350	uint16_t	
[7]	1133	0x20000352	uint16_t	
[8]	2219	0x20000354	uint16_t	
[9]	2197	0x20000356	uint16_t	
[10]	1132	0x20000358	uint16_t	
[11]	1110	0x2000035A	uint16_t	
[12]	1113	0x2000035C	uint16_t	
[13]	2217	0x2000035E	uint16_t	
[14]	1114	0x20000360	uint16_t	
[15]	1131	0x20000362	uint16_t	
[16]	1110	0x20000364	uint16_t	
[17]	2197	0x20000366	uint16_t	
[18]	1133	0x20000368	uint16_t	
[19]	1092	0x2000036A	uint16_t	
[20]	1130	0x2000036C	uint16_t	
[21]	1133	0x2000036E	uint16_t	
[22]	1109	0x20000370	uint16_t	
[23]	1114	0x20000372	uint16_t	
[24]	1109	0x20000374	uint16_t	
[25]	1111	0x20000376	uint16_t	
[26]	1132	0x20000378	uint16_t	
[27]	1112	0x2000037A	uint16_t	
[28]	1111	0x2000037C	uint16_t	
[29]	1132	0x2000037E	uint16_t	
[30]	1110	0x20000380	uint16_t	
[31]	1113	0x20000382	uint16_t	
[32]	1109	0x20000384	uint16_t	
[33]	1110	0x20000386	uint16_t	
[34]	1132	0x20000388	uint16_t	
[35]	1111	0x2000038A	uint16_t	
[36]	2218	0x2000038C	uint16_t	
[37]	1114	0x2000038E	uint16_t	
[38]	1132	0x20000390	uint16_t	
[39]	1110	0x20000392	uint16_t	
[40]	1111	0x20000394	uint16_t	
[41]	1110	0x20000396	uint16_t	
[42]	1113	0x20000398	uint16_t	
[43]	1132	0x2000039A	uint16_t	
[44]	2219	0x2000039C	uint16_t	
[45]	2220	0x2000039E	uint16_t	
[46]	1110	0x200003A0	uint16_t	
[47]	1111	0x200003A2	uint16_t	
[48]	1113	0x200003A4	uint16_t	
[49]	1110	0x200003A6	uint16_t	
[50]	1132	0x200003A8	uint16_t	
[51]	1110	0x200003AA	uint16_t	
[52]	1114	0x200003AC	uint16_t	
[53]	1132	0x200003AE	uint16_t	
[54]	1109	0x200003B0	uint16_t	
[55]	1110	0x200003B2	uint16_t	
[56]	1113	0x200003B4	uint16_t	
[57]	1110	0x200003B6	uint16_t	
[58]	1132	0x200003B8	uint16_t	
[59]	1110	0x200003BA	uint16_t	
[60]	1113	0x200003BC	uint16_t	
[61]	2218	0x200003BE	uint16_t	
[62]	1111	0x200003C0	uint16_t	
[63]	1132	0x200003C2	uint16_t	
[64]	1110	0x200003C4	uint16_t	
[65]	1109	0x200003C6	uint16_t	
[66]	1114	0x200003C8	uint16_t	
[67]	1132	0x200003CA	uint16_t	
[68]	1109	0x200003CC	uint16_t	
[69]	1112	0x200003CE	uint16_t	
[70]	1112	0x200003D0	uint16_t	
[71]	1132	0x200003D2	uint16_t	
[72]	1109	0x200003D4	uint16_t	
[73]	1110	0x200003D6	uint16_t	
[74]	1114	0x200003D8	uint16_t	
[75]	1131	0x200003DA	uint16_t	
[76]	1110	0x200003DC	uint16_t	
[77]	1110	0x200003DE	uint16_t	
[78]	1114	0x200003E0	uint16_t	
[79]	1131	0x200003E2	uint16_t	
[80]	1110	0x200003E4	uint16_t	
[81]	1110	0x200003E6	uint16_t	
[82]	1113	0x200003E8	uint16_t	
[83]	1109	0x200003EA	uint16_t	
[84]	1133	0x200003EC	uint16_t	
[85]	1110	0x200003EE	uint16_t	
[86]	1113	0x200003F0	uint16_t	
[87]	1132	0x200003F2	uint16_t	
[88]	1110	0x200003F4	uint16_t	
[89]	1110	0x200003F6	uint16_t	
[90]	1114	0x200003F8	uint16_t	
[91]	1109	0x200003FA	uint16_t	
[92]	1133	0x200003FC	uint16_t	
[93]	1110	0x200003FE	uint16_t	
[94]	1113	0x20000400	uint16_t	
[95]	1132	0x20000402	uint16_t	
[96]	1109	0x20000404	uint16_t	
[97]	1110	0x20000406	uint16_t	
[98]	1113	0x20000408	uint16_t	
[99]	2218	0x2000040A	uint16_t	
[100]	1112	0x2000040C	uint16_t	
[101]	1132	0x2000040E	uint16_t	
[102]	1110	0x20000410	uint16_t	
[103]	1112	0x20000412	uint16_t	
[104]	2218	0x20000414	uint16_t	
[105]	1109	0x20000416	uint16_t	
[106]	2219	0x20000418	uint16_t	
[107]	1109	0x2000041A	uint16_t	
[108]	1114	0x2000041C	uint16_t	
[109]	1110	0x2000041E	uint16_t	
[110]	1133	0x20000420	uint16_t	
[111]	2220	0x20000422	uint16_t	
[112]	2220	0x20000424	uint16_t	
[113]	1110	0x20000426	uint16_t	
[114]	2194	0x20000428	uint16_t	
[115]	0	0x2000042A	uint16_t	
[116]	0	0x2000042C	uint16_t	
[117]	0	0x2000042E	uint16_t	
[118]	0	0x20000430	uint16_t	
[119]	0	0x20000432	uint16_t	
ch2	Error (col 1): Unknown or ambiguous symbol. ch2			
ch2_index	Error (col 1): Unknown or ambiguous symbol. ch2_index			
ch1_index	115	0x20000340	uint16_t	
