Expression	Value	Location	Type	
AD_Value	<array>	0x20000408	double[100]	
ch1	<array>	0x20000014	uint16_t[500]	
[0]	2240	0x20000014	uint16_t	
[1]	1113	0x20000016	uint16_t	
[2]	2218	0x20000018	uint16_t	
[3]	1112	0x2000001A	uint16_t	
[4]	1132	0x2000001C	uint16_t	
[5]	2219	0x2000001E	uint16_t	
[6]	2197	0x20000020	uint16_t	
[7]	1132	0x20000022	uint16_t	
[8]	1110	0x20000024	uint16_t	
[9]	1112	0x20000026	uint16_t	
[10]	2218	0x20000028	uint16_t	
[11]	1113	0x2000002A	uint16_t	
[12]	1132	0x2000002C	uint16_t	
[13]	1110	0x2000002E	uint16_t	
[14]	2196	0x20000030	uint16_t	
[15]	1133	0x20000032	uint16_t	
[16]	1113	0x20000034	uint16_t	
[17]	1110	0x20000036	uint16_t	
[18]	1132	0x20000038	uint16_t	
[19]	1110	0x2000003A	uint16_t	
[20]	1114	0x2000003C	uint16_t	
[21]	1109	0x2000003E	uint16_t	
[22]	1110	0x20000040	uint16_t	
[23]	1132	0x20000042	uint16_t	
[24]	1112	0x20000044	uint16_t	
[25]	1112	0x20000046	uint16_t	
[26]	1132	0x20000048	uint16_t	
[27]	1110	0x2000004A	uint16_t	
[28]	1113	0x2000004C	uint16_t	
[29]	1110	0x2000004E	uint16_t	
[30]	1110	0x20000050	uint16_t	
[31]	1131	0x20000052	uint16_t	
[32]	1111	0x20000054	uint16_t	
[33]	2219	0x20000056	uint16_t	
[34]	1115	0x20000058	uint16_t	
[35]	1109	0x2000005A	uint16_t	
[36]	1132	0x2000005C	uint16_t	
[37]	1110	0x2000005E	uint16_t	
[38]	1109	0x20000060	uint16_t	
[39]	1114	0x20000062	uint16_t	
[40]	1132	0x20000064	uint16_t	
[41]	2219	0x20000066	uint16_t	
[42]	2219	0x20000068	uint16_t	
[43]	1110	0x2000006A	uint16_t	
[44]	1111	0x2000006C	uint16_t	
[45]	1112	0x2000006E	uint16_t	
[46]	1110	0x20000070	uint16_t	
[47]	1131	0x20000072	uint16_t	
[48]	1110	0x20000074	uint16_t	
[49]	1114	0x20000076	uint16_t	
[50]	1131	0x20000078	uint16_t	
[51]	1109	0x2000007A	uint16_t	
[52]	1110	0x2000007C	uint16_t	
[53]	1114	0x2000007E	uint16_t	
[54]	1110	0x20000080	uint16_t	
[55]	1131	0x20000082	uint16_t	
[56]	1110	0x20000084	uint16_t	
[57]	1114	0x20000086	uint16_t	
[58]	2218	0x20000088	uint16_t	
[59]	1111	0x2000008A	uint16_t	
[60]	1132	0x2000008C	uint16_t	
[61]	1109	0x2000008E	uint16_t	
[62]	1110	0x20000090	uint16_t	
[63]	1114	0x20000092	uint16_t	
[64]	1132	0x20000094	uint16_t	
[65]	1110	0x20000096	uint16_t	
[66]	1111	0x20000098	uint16_t	
[67]	1112	0x2000009A	uint16_t	
[68]	1132	0x2000009C	uint16_t	
[69]	1110	0x2000009E	uint16_t	
[70]	1109	0x200000A0	uint16_t	
[71]	1115	0x200000A2	uint16_t	
[72]	1131	0x200000A4	uint16_t	
[73]	1110	0x200000A6	uint16_t	
[74]	1110	0x200000A8	uint16_t	
[75]	1114	0x200000AA	uint16_t	
[76]	1131	0x200000AC	uint16_t	
[77]	1110	0x200000AE	uint16_t	
[78]	1110	0x200000B0	uint16_t	
[79]	1113	0x200000B2	uint16_t	
[80]	1110	0x200000B4	uint16_t	
[81]	1132	0x200000B6	uint16_t	
[82]	1110	0x200000B8	uint16_t	
[83]	1115	0x200000BA	uint16_t	
[84]	1131	0x200000BC	uint16_t	
[85]	1110	0x200000BE	uint16_t	
[86]	1109	0x200000C0	uint16_t	
[87]	1114	0x200000C2	uint16_t	
[88]	1109	0x200000C4	uint16_t	
[89]	1132	0x200000C6	uint16_t	
[90]	1110	0x200000C8	uint16_t	
[91]	1114	0x200000CA	uint16_t	
[92]	1132	0x200000CC	uint16_t	
[93]	1110	0x200000CE	uint16_t	
[94]	1110	0x200000D0	uint16_t	
[95]	1113	0x200000D2	uint16_t	
[96]	2218	0x200000D4	uint16_t	
[97]	1113	0x200000D6	uint16_t	
